time_of_day,season,fossil_gas_previous,ren_avg_dif
0.5,1.0,209.0,4048.202266483516
0.5,1.0,211.0,4196.202266483517
0.5,1.0,213.0,4110.202266483517
0.5,1.0,212.0,4146.202266483517
0.5,1.0,210.0,4075.202266483516
0.5,1.0,210.0,4068.202266483516
0.5,1.0,207.0,3904.202266483516
0.5,1.0,206.0,3918.202266483516
0.5,1.0,252.0,4501.202266483517
1.0,1.0,498.0,4335.202266483517
1.0,1.0,582.0,5706.202266483517
1.0,1.0,581.0,5316.202266483517
1.0,1.0,580.0,5191.202266483517
1.0,1.0,457.0,3518.2022664835163
1.0,1.0,238.0,3236.2022664835163
1.0,1.0,204.0,2579.2022664835163
0.0,1.0,203.0,2755.2022664835163
0.0,1.0,202.0,2708.2022664835163
0.0,1.0,202.0,2773.2022664835163
0.0,1.0,202.0,2775.2022664835163
0.0,1.0,203.0,2890.2022664835163
0.0,1.0,195.0,3153.2022664835163
0.0,1.0,171.0,3365.2022664835163
0.0,1.0,171.0,3392.2022664835163
0.5,1.0,171.0,3680.202266483516
0.5,1.0,171.0,3535.2022664835163
0.5,1.0,165.0,3809.202266483516
0.5,1.0,165.0,4214.202266483517
0.5,1.0,165.0,4302.202266483517
0.5,1.0,166.0,4290.202266483517
0.5,1.0,166.0,4098.202266483517
0.5,1.0,165.0,4358.202266483517
0.5,1.0,167.0,4545.202266483517
1.0,1.0,166.0,4711.202266483517
1.0,1.0,166.0,5044.202266483517
1.0,1.0,167.0,4531.202266483517
1.0,1.0,167.0,4173.202266483517
1.0,1.0,166.0,3609.202266483516
1.0,1.0,166.0,2916.2022664835163
1.0,1.0,166.0,2647.2022664835163
0.0,1.0,166.0,2473.2022664835163
0.0,1.0,167.0,2454.2022664835163
0.0,1.0,167.0,2228.2022664835163
0.0,1.0,204.0,2043.2022664835165
0.0,1.0,167.0,1935.2022664835165
0.0,1.0,268.0,2052.2022664835163
0.0,1.0,401.0,2321.2022664835163
0.0,1.0,401.0,3534.2022664835163
0.5,1.0,404.0,3416.2022664835163
0.5,1.0,415.0,2716.2022664835163
0.5,1.0,488.0,2812.2022664835163
0.5,1.0,430.0,2120.2022664835163
